id,severity,confidence,status,area,file,function,trigger,behavior,paid_work_risk,data_risk,operator_impact,recommended_fix,complexity,regression_risk
PR-001,P0,high,Confirmed,cost-duplication,lib/ai/workflows/generateContentPackage.ts,runGenerateContentPackageUnchecked / loadExistingPackageData,Concurrent n8n retries (maxTries=3) or overlapping generate calls for same strategy_item_id after both pass empty pre-check,Both run full Creative Engine + Presentation; unique index allows only one package,High — duplicate Claude/OpenAI for one item,Low — single package wins,Silent cost spike; run looks normal,Serialize generate-per-strategy-item (advisory lock or claim row before AI) or short-circuit if generation_lock held,Medium,Medium — must not block legitimate heal/retry
PR-002,P0,high,Confirmed,lost-work,video-worker/jobRunner.ts,runVideoJob catch path,Completed sendVideoCallback throws after successful upload,Catch sends status=failed; durable MP4 may exist while job failed,High — operator retry redoes TTS/images/FFmpeg,Medium — false failed vs orphan storage,Manual retry or abandoned good render,On completed-callback failure: persist completed via admin API with artifact URLs or mark needs_reconcile without failed; do not send failed after successful upload,Medium,Medium — callback contract
PR-003,P1,high,Likely,cost-duplication,app/api/n8n/start-video-job/route.ts,POST claim stale processing,Render exceeds VIDEO_JOB_STALE_MINUTES (default 30) without DB updates (no heartbeat),Second worker dispatched; duplicate paid render; first terminal callback wins,High,Low — second callback no-op,Double cost / confusing logs,Heartbeat updated_at during long phases OR increase stale threshold OR reclaim only if worker lease expired,Medium,High — reclaim is recovery path
PR-004,P1,high,Confirmed,cancellation,lib/n8n/handleGenerateContentPackageRequest.ts,handleGenerateContentPackageRequest,Operator Stop after cancel check passed / generationBegan=true,In-flight Claude CE+Presentation continues to completion or fail; paid work after Stop,High — post-cancel spend,Low — settle/skip later invocations,Stop does not stop current package AI,Cooperative abort signal checked between CE phases; skip persist if run cancelled before insert,Medium,Medium
PR-005,P1,high,Confirmed,hard-fail-waste,lib/ai/workflows/generateContentPackage.ts,product demonstration integrity block ~1211-1264,PDI validation fails after CE+Presentation,Immediate generation_failed; comment claims force inject but no repair wired; buildProductDemonstrationRepairDelta unused,High — full upstream paid work discarded,None,Failed slot; confusing after long wait,Wire deterministic inject or repair delta before hard fail; or soft-fail to diagnostics,Medium,High — integrity semantics
PR-006,P1,high,Confirmed,hard-fail-waste,lib/ai/workflows/generateContentPackage.ts,concept fidelity / story integrity,Heuristic fidelity or story violations after ≤1 repair,Package hard-fail; run item settled failed; CE+Presentation paid,High,None,Frequent failed packages (see cost-trace),Narrow hard codes; soft-fail non-material; keep package on soft diagnostics,High,High — quality regressions
PR-007,P1,medium,Confirmed,guards,lib/ai/guardrails.ts,checkContentPackageGuardrails CORPORATE_COPY_PHRASES / forbidden substrings,Copy contains listed corporate substring or forbidden claim substring,Regenerate up to 3 then fail package,Medium — up to 3 Presentation attempts,None,Rejects usable copy,Move corporate to soft warn or narrower match; keep true forbidden claims,Low,Medium
PR-008,P1,high,Confirmed,stuck-state,lib/api/production-run-admin.ts,failStaleProductionRunIfNeeded,Run has packages but video_jobs stuck processing forever,No automatic run fail (stale only when packages.length===0),Medium if operator retries blindly,Medium — run never completes,UI stuck running; blocks? cancelled doesn't block new run but UX blocked on active run gate,Add run-level stale for aged running items/jobs; surface stuck jobs,Medium,Medium
PR-009,P1,high,Confirmed,idempotency,lib/ai/workflows/regenerateContentPackage.ts,persist regen video insert ~1110,Double regenerate or regen while prior job processing,Always inserts new queued video_jobs; no assertNoActiveRender equivalent,High — overlapping renders,Medium — multiple jobs / last text wins,Confusing multi-job package,Before insert: refuse if queued/processing job exists for primary item,Low,Low
PR-010,P1,medium,Likely,cancellation,lib/api/production-run-cancel.ts,cancelOpenVideoJobsForProductionRun,Stop production run while language-variant jobs exist without production_run_id stamp,Variant/translation videos not failed by cancel filter,Medium — work continues,Low,Stop incomplete for variants,Stamp production_run_id on variants OR cancel by package_id lineage,Medium,Medium
PR-011,P2,high,Confirmed,callback,lib/n8n/handlers.ts,handleContentPackageCallback,Late/duplicate package callback,Unconditional status/brief update — no terminal CAS,Low,Medium — can overwrite approved/published,Surprising status changes,Update only if status in allowed set (e.g. draft),Low,Low
PR-012,P2,high,Confirmed,transactions,lib/ai/workflows/generateContentPackage.ts,persistNewPackage,Crash between package/items/job inserts,Partial package; heal path or orphans; rollback also non-transactional,Low–Medium,Medium — orphan drafts,Heal/manual cleanup,Single RPC/transaction for persist,High,Medium
PR-013,P2,high,Confirmed,transactions,lib/api/production-run-admin.ts / settleProductionRunItem.ts,mark fail + run counters,Crash after item failed before counters,Item terminal; run counters stale until reconcile,Low,Low–Medium,Misleading progress until poll,RPC settle item+counters atomically,Medium,Low
PR-014,P2,medium,Likely,concurrency,lib/ai/workflows/generateContentPackage.ts,healMissingVideoJobIfRequired,Two concurrent heals,Two video_jobs rows possible (no unique),Medium,Medium,Duplicate start-video ambiguity,Unique partial index or RPC insert-if-missing,Medium,Medium
PR-015,P2,medium,Likely,concurrency,lib/ai/workflows/videoSceneEditor.ts,regenerateSceneImageInEditor,Concurrent scene regenerates,TOCTOU past assertNoActiveRender; orphan images,Medium,Low,Last draft wins,Lease/lock per package scene,Medium,Low
PR-016,P2,high,Confirmed,cancellation-gap,video-worker/cancellation.ts + jobRunner.ts,assertVideoJobStillActive checkpoints,Cancel between TTS start and next assert,TTS/image may complete after cancel notify,Medium — wasted provider calls,Low,Extra spend after Stop,More frequent asserts; abort fetch where supported,Medium,Low
PR-017,P2,medium,Confirmed,guards,lib/api/packageReconcileStatus.ts,resolvePackageReconcileStatus,Any job status=failed,Package slot failed even if another job completed,Low,Low — slot failed,One bad retry job fails slot,Reconcile using latest non-cancelled job or designated primary job id,Medium,Medium
PR-018,P2,high,Confirmed,guards,lib/ai/workflows/generateContentPackage.ts / regenerateContentPackage.ts,Creative DNA validation warn-only,DNA mismatch after full gen,Continues; expensive inconsistency possible,Low (no extra) / quality,Low,Silent quality drift,Promote critical DNA mismatches to repair or hard fail selectively,Medium,High
PR-019,P3,high,Confirmed,observability,docs/audits/cost-trace-c8dd3caf/summary.json,N/A,Failed packages persist no generation_telemetry,Cannot attribute failed-package spend precisely,N/A,N/A,Harder cost forensics,Persist telemetry on failure paths,Low,Low
PR-020,P3,high,Confirmed,test-gap,scripts/,N/A,No automated check for upload-success/callback-fail; no heartbeat reclaim race; no PDI repair wiring; no variant cancel coverage,Regressions undetected,N/A,N/A,False confidence,Add focused checks (not in this audit task),Low,Low
PR-021,P1,medium,Confirmed,retry-multiplication,lib/creative-engine-v3/* + lib/ai/runWithRepair.ts,planForPackage + generateValidatedJson,Single package generation under worst nested caps,≤~63 Claude completes + JSON repairs + video TTS×3 + images×10 before success,Critical relative per package,None,Long runtime / high bill,Lower CE transport attempts; fail-fast cheaper gates before CE; cap total package budget,High,High
PR-022,P2,medium,Possible,start-race,app/projects/[id]/production/actions.ts,startProductionRun,Double-click GENERATE before active run inserted,App check-then-insert only — Possible two runs,High if both trigger n8n,Medium,Two concurrent pipelines,DB unique partial active run or advisory lock,Low,Low
